# out_png spp bounces  camx camy camz  tgtx tgty tgtz
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0000.png 8 2 5.5542 -1.7855 1.0116 6.5052 -2.0692 1.1351
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0000.png 256 2 5.5542 -1.7855 1.0116 6.5052 -2.0692 1.1351
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0001.png 8 2 5.2935 -3.0961 0.8611 6.2601 -3.1753 0.6174
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0001.png 256 2 5.2935 -3.0961 0.8611 6.2601 -3.1753 0.6174
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0002.png 8 2 3.4291 -2.0541 0.8128 4.3768 -2.3633 0.8912
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0002.png 256 2 3.4291 -2.0541 0.8128 4.3768 -2.3633 0.8912
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0003.png 8 2 4.2269 -0.6968 1.2629 5.1434 -0.3890 1.0074
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0003.png 256 2 4.2269 -0.6968 1.2629 5.1434 -0.3890 1.0074
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0004.png 8 2 3.3305 -3.9443 1.0637 4.2394 -4.2872 1.3008
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0004.png 256 2 3.3305 -3.9443 1.0637 4.2394 -4.2872 1.3008
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0005.png 8 2 4.6780 -1.5726 0.8689 5.6111 -1.2172 0.9232
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0005.png 256 2 4.6780 -1.5726 0.8689 5.6111 -1.2172 0.9232
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0006.png 8 2 3.7191 -4.0372 1.2205 4.5971 -3.5627 1.1570
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0006.png 256 2 3.7191 -4.0372 1.2205 4.5971 -3.5627 1.1570
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0007.png 8 2 4.6357 -3.2476 1.2863 5.5641 -2.8781 1.3268
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0007.png 256 2 4.6357 -3.2476 1.2863 5.5641 -2.8781 1.3268
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0008.png 8 2 5.6643 -1.5355 0.9739 6.6166 -1.7490 0.7556
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0008.png 256 2 5.6643 -1.5355 0.9739 6.6166 -1.7490 0.7556
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0009.png 8 2 4.4440 -1.6907 1.0139 5.4315 -1.5494 0.9432
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0009.png 256 2 4.4440 -1.6907 1.0139 5.4315 -1.5494 0.9432
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0010.png 8 2 4.2083 -1.1401 1.0051 5.1029 -0.6999 1.0825
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0010.png 256 2 4.2083 -1.1401 1.0051 5.1029 -0.6999 1.0825
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0011.png 8 2 4.6994 -0.6960 1.3748 5.6361 -1.0406 1.3118
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0011.png 256 2 4.6994 -0.6960 1.3748 5.6361 -1.0406 1.3118
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0012.png 8 2 2.3985 -3.9418 1.2371 3.3641 -3.7528 1.4156
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0012.png 256 2 2.3985 -3.9418 1.2371 3.3641 -3.7528 1.4156
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0013.png 8 2 4.2300 -0.1125 0.8172 5.2042 -0.3031 0.6959
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0013.png 256 2 4.2300 -0.1125 0.8172 5.2042 -0.3031 0.6959
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0014.png 8 2 4.4693 -2.2209 1.4926 5.4472 -2.4131 1.5739
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0014.png 256 2 4.4693 -2.2209 1.4926 5.4472 -2.4131 1.5739
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0015.png 8 2 4.8253 -2.5416 1.1586 5.7866 -2.7832 1.0263
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0015.png 256 2 4.8253 -2.5416 1.1586 5.7866 -2.7832 1.0263
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0016.png 8 2 3.8631 -0.6368 1.2592 4.7763 -0.2327 1.2066
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0016.png 256 2 3.8631 -0.6368 1.2592 4.7763 -0.2327 1.2066
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0017.png 8 2 4.5236 -2.0442 1.1992 5.4078 -2.4480 0.9642
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0017.png 256 2 4.5236 -2.0442 1.1992 5.4078 -2.4480 0.9642
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0018.png 8 2 3.7845 -2.2325 1.4252 4.7553 -2.3118 1.1986
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0018.png 256 2 3.7845 -2.2325 1.4252 4.7553 -2.3118 1.1986
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0019.png 8 2 4.9291 -2.0590 1.2148 5.7942 -1.5938 1.4026
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0019.png 256 2 4.9291 -2.0590 1.2148 5.7942 -1.5938 1.4026
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0020.png 8 2 3.9701 -2.0639 1.3369 4.9619 -2.0255 1.2151
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0020.png 256 2 3.9701 -2.0639 1.3369 4.9619 -2.0255 1.2151
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0021.png 8 2 5.2000 -1.0023 1.1393 6.1708 -1.0494 1.3747
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0021.png 256 2 5.2000 -1.0023 1.1393 6.1708 -1.0494 1.3747
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0022.png 8 2 3.7914 0.1462 1.1920 4.7134 -0.1764 1.4064
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0022.png 256 2 3.7914 0.1462 1.1920 4.7134 -0.1764 1.4064
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0023.png 8 2 3.3231 0.0405 1.3027 4.3002 0.1525 1.1219
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0023.png 256 2 3.3231 0.0405 1.3027 4.3002 0.1525 1.1219
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0024.png 8 2 2.1272 -2.5026 1.4144 3.0927 -2.4719 1.1559
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0024.png 256 2 2.1272 -2.5026 1.4144 3.0927 -2.4719 1.1559
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0025.png 8 2 4.7797 -1.9368 1.5348 5.6882 -1.5563 1.7076
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0025.png 256 2 4.7797 -1.9368 1.5348 5.6882 -1.5563 1.7076
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0026.png 8 2 4.6938 -1.7621 1.4939 5.5653 -1.3215 1.2787
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0026.png 256 2 4.6938 -1.7621 1.4939 5.5653 -1.3215 1.2787
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0027.png 8 2 5.0773 -1.5239 1.4000 6.0206 -1.2542 1.2067
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0027.png 256 2 5.0773 -1.5239 1.4000 6.0206 -1.2542 1.2067
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0028.png 8 2 2.8449 -2.4015 1.0036 3.7690 -2.0216 0.9633
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0028.png 256 2 2.8449 -2.4015 1.0036 3.7690 -2.0216 0.9633
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0029.png 8 2 3.4619 -2.1651 1.3755 4.4087 -2.4715 1.2771
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0029.png 256 2 3.4619 -2.1651 1.3755 4.4087 -2.4715 1.2771
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/noisy/0030.png 8 2 2.5115 -4.0473 1.1420 3.4917 -4.0293 0.9449
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data/clean/0030.png 256 2 2.5115 -4.0473 1.1420 3.4917 -4.0293 0.9449
