# out_png spp bounces  camx camy camz  tgtx tgty tgtz
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0000.png 8 2 4.7038 -1.5207 0.6930 5.6548 -1.8043 0.8165
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0000.png 256 2 4.7038 -1.5207 0.6930 5.6548 -1.8043 0.8165
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0001.png 8 2 4.4431 -2.8313 0.5425 5.4097 -2.9105 0.2988
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0001.png 256 2 4.4431 -2.8313 0.5425 5.4097 -2.9105 0.2988
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0002.png 8 2 2.5787 -1.7893 0.4942 3.5264 -2.0985 0.5726
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0002.png 256 2 2.5787 -1.7893 0.4942 3.5264 -2.0985 0.5726
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0003.png 8 2 3.3766 -0.4320 0.9444 4.2930 -0.1241 0.6889
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0003.png 256 2 3.3766 -0.4320 0.9444 4.2930 -0.1241 0.6889
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0004.png 8 2 2.4801 -3.6794 0.7452 3.3890 -4.0224 0.9823
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0004.png 256 2 2.4801 -3.6794 0.7452 3.3890 -4.0224 0.9823
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0005.png 8 2 3.8276 -1.3078 0.5504 4.7607 -0.9524 0.6047
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0005.png 256 2 3.8276 -1.3078 0.5504 4.7607 -0.9524 0.6047
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0006.png 8 2 2.8687 -3.7724 0.9020 3.7467 -3.2979 0.8384
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0006.png 256 2 2.8687 -3.7724 0.9020 3.7467 -3.2979 0.8384
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0007.png 8 2 3.7853 -2.9828 0.9678 4.7137 -2.6133 1.0083
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0007.png 256 2 3.7853 -2.9828 0.9678 4.7137 -2.6133 1.0083
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0008.png 8 2 4.8139 -1.2707 0.6553 5.7662 -1.4842 0.4371
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0008.png 256 2 4.8139 -1.2707 0.6553 5.7662 -1.4842 0.4371
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0009.png 8 2 3.5936 -1.4258 0.6954 4.5811 -1.2846 0.6247
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0009.png 256 2 3.5936 -1.4258 0.6954 4.5811 -1.2846 0.6247
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0010.png 8 2 3.3579 -0.8752 0.6866 4.2525 -0.4351 0.7640
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0010.png 256 2 3.3579 -0.8752 0.6866 4.2525 -0.4351 0.7640
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0011.png 8 2 3.8490 -0.4312 1.0563 4.7857 -0.7757 0.9932
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0011.png 256 2 3.8490 -0.4312 1.0563 4.7857 -0.7757 0.9932
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0012.png 8 2 1.5481 -3.6770 0.9186 2.5137 -3.4879 1.0971
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0012.png 256 2 1.5481 -3.6770 0.9186 2.5137 -3.4879 1.0971
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0013.png 8 2 3.3796 0.1523 0.4987 4.3538 -0.0383 0.3774
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0013.png 256 2 3.3796 0.1523 0.4987 4.3538 -0.0383 0.3774
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0014.png 8 2 3.6189 -1.9561 1.1741 4.5968 -2.1483 1.2554
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0014.png 256 2 3.6189 -1.9561 1.1741 4.5968 -2.1483 1.2554
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0015.png 8 2 3.9749 -2.2768 0.8401 4.9362 -2.5184 0.7078
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0015.png 256 2 3.9749 -2.2768 0.8401 4.9362 -2.5184 0.7078
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0016.png 8 2 3.0127 -0.3720 0.9407 3.9259 0.0321 0.8880
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0016.png 256 2 3.0127 -0.3720 0.9407 3.9259 0.0321 0.8880
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0017.png 8 2 3.6732 -1.7794 0.8806 4.5574 -2.1832 0.6457
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0017.png 256 2 3.6732 -1.7794 0.8806 4.5574 -2.1832 0.6457
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0018.png 8 2 2.9341 -1.9677 1.1067 3.9049 -2.0470 0.8801
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0018.png 256 2 2.9341 -1.9677 1.1067 3.9049 -2.0470 0.8801
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0019.png 8 2 4.0787 -1.7941 0.8963 4.9438 -1.3290 1.0841
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0019.png 256 2 4.0787 -1.7941 0.8963 4.9438 -1.3290 1.0841
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0020.png 8 2 3.1197 -1.7991 1.0184 4.1115 -1.7607 0.8966
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0020.png 256 2 3.1197 -1.7991 1.0184 4.1115 -1.7607 0.8966
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0021.png 8 2 4.3496 -0.7375 0.8208 5.3204 -0.7846 1.0562
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0021.png 256 2 4.3496 -0.7375 0.8208 5.3204 -0.7846 1.0562
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0022.png 8 2 2.9410 0.4110 0.8735 3.8630 0.0885 1.0878
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0022.png 256 2 2.9410 0.4110 0.8735 3.8630 0.0885 1.0878
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0023.png 8 2 2.4727 0.3054 0.9842 3.4499 0.4174 0.8034
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0023.png 256 2 2.4727 0.3054 0.9842 3.4499 0.4174 0.8034
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0024.png 8 2 1.2768 -2.2377 1.0959 2.2423 -2.2070 0.8374
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0024.png 256 2 1.2768 -2.2377 1.0959 2.2423 -2.2070 0.8374
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0025.png 8 2 3.9293 -1.6720 1.2163 4.8378 -1.2915 1.3891
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0025.png 256 2 3.9293 -1.6720 1.2163 4.8378 -1.2915 1.3891
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0026.png 8 2 3.8434 -1.4972 1.1754 4.7149 -1.0566 0.9601
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0026.png 256 2 3.8434 -1.4972 1.1754 4.7149 -1.0566 0.9601
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0027.png 8 2 4.2269 -1.2590 1.0815 5.1702 -0.9894 0.8881
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0027.png 256 2 4.2269 -1.2590 1.0815 5.1702 -0.9894 0.8881
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/noisy/0028.png 8 2 1.9945 -2.1367 0.6850 2.9186 -1.7568 0.6448
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_gb/clean/0028.png 256 2 1.9945 -2.1367 0.6850 2.9186 -1.7568 0.6448
