# out_png spp bounces  camx camy camz  tgtx tgty tgtz
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_v3/noisy/0000.png 8 2 4.7038 -1.5207 0.6930 5.6548 -1.8043 0.8165
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_v3/clean/0000.png 1024 2 4.7038 -1.5207 0.6930 5.6548 -1.8043 0.8165
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_v3/noisy/0001.png 8 2 4.4431 -2.8313 0.5425 5.4097 -2.9105 0.2988
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_v3/clean/0001.png 1024 2 4.4431 -2.8313 0.5425 5.4097 -2.9105 0.2988
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_v3/noisy/0002.png 8 2 2.5787 -1.7893 0.4942 3.5264 -2.0985 0.5726
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_v3/clean/0002.png 1024 2 2.5787 -1.7893 0.4942 3.5264 -2.0985 0.5726
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_v3/noisy/0003.png 8 2 3.3766 -0.4320 0.9444 4.2930 -0.1241 0.6889
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_v3/clean/0003.png 1024 2 3.3766 -0.4320 0.9444 4.2930 -0.1241 0.6889
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_v3/noisy/0004.png 8 2 2.4801 -3.6794 0.7452 3.3890 -4.0224 0.9823
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_v3/clean/0004.png 1024 2 2.4801 -3.6794 0.7452 3.3890 -4.0224 0.9823
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_v3/noisy/0005.png 8 2 3.8276 -1.3078 0.5504 4.7607 -0.9524 0.6047
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_v3/clean/0005.png 1024 2 3.8276 -1.3078 0.5504 4.7607 -0.9524 0.6047
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_v3/noisy/0006.png 8 2 2.8687 -3.7724 0.9020 3.7467 -3.2979 0.8384
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_v3/clean/0006.png 1024 2 2.8687 -3.7724 0.9020 3.7467 -3.2979 0.8384
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_v3/noisy/0007.png 8 2 3.7853 -2.9828 0.9678 4.7137 -2.6133 1.0083
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_v3/clean/0007.png 1024 2 3.7853 -2.9828 0.9678 4.7137 -2.6133 1.0083
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_v3/noisy/0008.png 8 2 4.8139 -1.2707 0.6553 5.7662 -1.4842 0.4371
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_v3/clean/0008.png 1024 2 4.8139 -1.2707 0.6553 5.7662 -1.4842 0.4371
C:/p4/Personal/Tools/LuminaGI-CudaRef/ml/data_v3/noisy/0009.png 8 2 3.5936 -1.4258 0.6954 4.5811 -1.2846 0.6247
